'att1','att2','att3','att4','att5','att6','att7','att8','att9','att10','id','outlier'
7.0,15.0,105.0,2.143,0.324,0.762,3.09,34.0,80.0,11.0,136.0,'no'
7.0,58.0,406.0,8.286,0.202,0.751,2.34,82.0,305.0,35.0,137.0,'no'
7.0,46.0,322.0,6.571,0.155,0.587,4.17,50.0,189.0,12.0,138.0,'no'
1.0,27.0,27.0,27.0,0.593,1.0,4.0,16.0,27.0,4.0,139.0,'no'
7.0,17.0,119.0,2.429,0.227,0.58,2.7,27.0,69.0,10.0,140.0,'no'
2.0,31.0,62.0,15.5,0.194,0.516,2.0,12.0,32.0,6.0,141.0,'no'
2.0,17.0,34.0,8.5,0.324,1.0,2.75,11.0,34.0,4.0,143.0,'no'
2.0,11.0,22.0,5.5,0.409,0.955,9.0,9.0,21.0,1.0,144.0,'no'
2.0,19.0,38.0,9.5,0.237,1.0,1.8,9.0,38.0,5.0,145.0,'no'
7.0,107.0,749.0,15.286,0.27,0.654,1.6,202.0,490.0,126.0,146.0,'no'
5.0,9.0,45.0,1.8,0.267,0.778,1.71,12.0,35.0,7.0,147.0,'no'
11.0,9.0,99.0,0.818,0.485,0.727,6.0,48.0,72.0,8.0,148.0,'no'
11.0,8.0,88.0,0.727,0.705,1.0,7.75,62.0,88.0,8.0,149.0,'no'
11.0,8.0,88.0,0.727,0.443,0.466,39.0,39.0,41.0,1.0,150.0,'no'
11.0,7.0,77.0,0.636,0.597,1.0,5.75,46.0,77.0,8.0,151.0,'no'
11.0,7.0,77.0,0.636,0.468,1.0,3.6,36.0,77.0,10.0,152.0,'no'
11.0,9.0,99.0,0.818,0.475,0.636,15.67,47.0,63.0,3.0,153.0,'no'
11.0,8.0,88.0,0.727,0.511,0.852,9.0,45.0,75.0,5.0,154.0,'no'
1.0,43.0,43.0,43.0,0.907,1.0,9.75,39.0,43.0,4.0,155.0,'yes'
10.0,38.0,380.0,3.8,0.387,0.887,2.49,147.0,337.0,59.0,156.0,'no'
8.0,20.0,160.0,2.5,0.5,1.0,2.76,80.0,160.0,29.0,157.0,'no'
9.0,36.0,324.0,4.0,0.54,0.929,2.87,175.0,301.0,61.0,158.0,'no'
10.0,98.0,980.0,9.8,0.391,0.835,2.41,383.0,818.0,159.0,159.0,'no'
10.0,49.0,490.0,4.9,0.52,0.961,2.97,255.0,471.0,86.0,160.0,'no'
10.0,21.0,210.0,2.1,0.329,0.843,2.56,69.0,177.0,27.0,161.0,'no'
9.0,19.0,171.0,2.111,0.292,0.76,2.63,50.0,130.0,19.0,162.0,'no'
9.0,55.0,495.0,6.111,0.299,1.0,1.92,148.0,495.0,77.0,163.0,'no'
9.0,14.0,126.0,1.556,0.127,0.937,1.78,16.0,118.0,9.0,164.0,'no'
8.0,23.0,184.0,2.875,0.288,1.0,1.47,53.0,184.0,36.0,165.0,'no'
8.0,35.0,280.0,4.375,0.379,0.886,1.66,106.0,248.0,64.0,166.0,'no'
9.0,96.0,864.0,10.667,0.281,0.815,1.96,243.0,704.0,124.0,167.0,'no'
9.0,66.0,594.0,7.333,0.323,0.805,2.0,192.0,478.0,96.0,168.0,'no'
9.0,34.0,306.0,3.778,0.337,0.817,1.81,103.0,250.0,57.0,169.0,'no'
8.0,83.0,664.0,10.375,0.325,0.908,1.76,216.0,603.0,123.0,170.0,'no'
8.0,80.0,640.0,10.0,0.303,0.922,1.72,194.0,590.0,113.0,171.0,'no'
9.0,95.0,855.0,10.556,0.285,0.723,2.1,244.0,618.0,116.0,172.0,'no'
8.0,80.0,640.0,10.0,0.298,0.883,1.72,191.0,565.0,111.0,173.0,'no'
10.0,13.0,130.0,1.3,0.108,0.685,2.33,14.0,89.0,6.0,174.0,'no'
8.0,70.0,560.0,8.75,0.341,0.918,1.66,191.0,514.0,115.0,175.0,'no'
11.0,84.0,924.0,7.636,0.262,0.82,1.69,242.0,758.0,143.0,176.0,'no'
9.0,99.0,891.0,11.0,0.27,0.818,1.93,241.0,729.0,125.0,177.0,'no'
9.0,80.0,720.0,8.889,0.293,0.868,1.85,211.0,625.0,114.0,178.0,'no'
11.0,101.0,1111.0,9.182,0.239,0.818,1.61,265.0,909.0,165.0,179.0,'no'
12.0,26.0,312.0,2.167,0.221,1.0,1.6,69.0,312.0,43.0,180.0,'no'
12.0,40.0,480.0,3.333,0.271,0.733,1.97,130.0,352.0,66.0,181.0,'no'
8.0,84.0,672.0,10.5,0.269,0.966,1.79,181.0,649.0,101.0,182.0,'no'
8.0,53.0,424.0,6.625,0.358,0.981,1.54,152.0,416.0,99.0,183.0,'no'
8.0,41.0,328.0,5.125,0.363,0.942,1.63,119.0,309.0,73.0,184.0,'no'
9.0,82.0,738.0,9.111,0.252,0.74,2.0,186.0,546.0,93.0,185.0,'no'
7.0,14.0,98.0,2.0,0.184,0.612,18.0,18.0,60.0,1.0,186.0,'no'
8.0,26.0,208.0,3.25,0.375,0.947,1.77,78.0,197.0,44.0,187.0,'no'
8.0,46.0,368.0,5.75,0.391,0.951,1.85,144.0,350.0,78.0,188.0,'no'
9.0,34.0,306.0,3.778,0.379,0.961,1.71,116.0,294.0,68.0,189.0,'no'
11.0,26.0,286.0,2.364,0.297,0.941,2.02,85.0,269.0,42.0,190.0,'no'
11.0,42.0,462.0,3.818,0.335,0.829,2.25,155.0,383.0,69.0,191.0,'no'
12.0,62.0,744.0,5.167,0.234,0.66,1.58,174.0,491.0,110.0,192.0,'no'
8.0,75.0,600.0,9.375,0.328,0.888,1.86,197.0,533.0,106.0,193.0,'no'
8.0,18.0,144.0,2.25,0.479,0.986,2.16,69.0,142.0,32.0,194.0,'no'
7.0,33.0,231.0,4.714,0.143,0.844,2.36,33.0,195.0,14.0,195.0,'no'
9.0,64.0,576.0,7.111,0.465,0.899,2.58,268.0,518.0,104.0,196.0,'no'
9.0,36.0,324.0,4.0,0.568,0.932,3.02,184.0,302.0,61.0,197.0,'no'
8.0,8.0,64.0,1.0,0.203,0.344,4.33,13.0,22.0,3.0,198.0,'no'
8.0,21.0,168.0,2.625,0.339,0.673,1.97,57.0,113.0,29.0,199.0,'no'
9.0,99.0,891.0,11.0,0.464,0.942,2.52,413.0,839.0,164.0,200.0,'no'
9.0,84.0,756.0,9.333,0.288,0.791,1.83,218.0,598.0,119.0,201.0,'no'
8.0,31.0,248.0,3.875,0.327,0.79,1.84,81.0,196.0,44.0,202.0,'no'
19.0,2.0,38.0,0.105,0.816,0.816,31.0,31.0,31.0,1.0,203.0,'yes'
9.0,101.0,909.0,11.222,0.442,0.861,2.68,402.0,783.0,150.0,204.0,'no'
11.0,118.0,1298.0,10.727,0.26,0.817,2.01,338.0,1061.0,168.0,205.0,'no'
5.0,2.0,10.0,0.4,0.8,0.8,8.0,8.0,8.0,1.0,206.0,'yes'
10.0,126.0,1260.0,12.6,0.41,0.833,2.63,516.0,1049.0,196.0,207.0,'no'
12.0,117.0,1404.0,9.75,0.22,0.673,1.68,309.0,945.0,184.0,208.0,'no'
9.0,35.0,315.0,3.889,0.263,0.667,2.86,83.0,210.0,29.0,209.0,'no'
9.0,46.0,414.0,5.111,0.292,0.676,1.92,121.0,280.0,63.0,210.0,'no'
10.0,2.0,20.0,0.2,0.55,0.6,11.0,11.0,12.0,1.0,211.0,'yes'
8.0,44.0,352.0,5.5,0.426,0.938,3.26,150.0,330.0,46.0,212.0,'no'
8.0,48.0,384.0,6.0,0.31,0.807,1.92,119.0,310.0,62.0,213.0,'no'
8.0,40.0,320.0,5.0,0.403,0.991,2.53,129.0,317.0,51.0,214.0,'no'
8.0,45.0,360.0,5.625,0.469,0.956,2.91,169.0,344.0,58.0,215.0,'no'
9.0,20.0,180.0,2.222,0.261,0.556,2.35,47.0,100.0,20.0,216.0,'no'
9.0,22.0,198.0,2.444,0.298,0.965,2.11,59.0,191.0,28.0,217.0,'no'
8.0,41.0,328.0,5.125,0.335,0.933,2.08,110.0,306.0,53.0,218.0,'no'
2.0,112.0,224.0,56.0,0.496,0.504,55.5,111.0,113.0,2.0,219.0,'yes'
1.0,45.0,45.0,45.0,0.756,1.0,5.67,34.0,45.0,6.0,220.0,'yes'
1.0,75.0,75.0,75.0,0.813,1.0,5.55,61.0,75.0,11.0,221.0,'yes'
8.0,43.0,344.0,5.375,0.349,0.814,2.26,120.0,280.0,53.0,222.0,'no'
11.0,301.0,3311.0,27.364,0.308,0.735,2.22,1019.0,2435.0,458.0,223.0,'no'
7.0,35.0,245.0,5.0,0.453,0.873,2.47,111.0,214.0,45.0,224.0,'no'
9.0,122.0,1098.0,13.556,0.339,0.947,2.57,372.0,1040.0,145.0,225.0,'no'
10.0,130.0,1300.0,13.0,0.425,0.773,2.79,552.0,1005.0,198.0,226.0,'no'
6.0,46.0,276.0,7.667,0.217,0.804,2.0,60.0,222.0,30.0,227.0,'no'
6.0,27.0,162.0,4.5,0.136,0.673,2.0,22.0,109.0,11.0,228.0,'no'
5.0,8.0,40.0,1.6,0.35,0.675,4.67,14.0,27.0,3.0,229.0,'no'
5.0,3.0,15.0,0.6,0.467,1.0,7.0,7.0,15.0,1.0,230.0,'no'
5.0,35.0,175.0,7.0,0.2,0.829,4.38,35.0,145.0,8.0,231.0,'no'
4.0,47.0,188.0,11.75,0.298,0.739,2.33,56.0,139.0,24.0,232.0,'no'
3.0,31.0,93.0,10.333,0.226,0.774,2.1,21.0,72.0,10.0,233.0,'no'
3.0,16.0,48.0,5.333,0.375,0.938,2.25,18.0,45.0,8.0,234.0,'no'
7.0,122.0,854.0,17.429,0.281,0.626,1.73,240.0,535.0,139.0,235.0,'no'
11.0,21.0,231.0,1.909,0.411,0.68,3.96,95.0,157.0,24.0,236.0,'no'
11.0,8.0,88.0,0.727,0.375,0.602,4.13,33.0,53.0,8.0,237.0,'no'
11.0,9.0,99.0,0.818,0.465,0.818,9.2,46.0,81.0,5.0,238.0,'no'
10.0,8.0,80.0,0.8,0.5,1.0,5.0,40.0,80.0,8.0,239.0,'no'
10.0,21.0,210.0,2.1,0.324,0.6,3.4,68.0,126.0,20.0,240.0,'no'
2.0,157.0,314.0,78.5,0.506,0.551,26.5,159.0,173.0,6.0,241.0,'yes'
10.0,38.0,380.0,3.8,0.439,0.897,2.83,167.0,341.0,59.0,242.0,'no'
9.0,36.0,324.0,4.0,0.549,0.914,3.3,178.0,296.0,54.0,243.0,'no'
8.0,20.0,160.0,2.5,0.525,0.938,3.5,84.0,150.0,24.0,244.0,'no'
10.0,96.0,960.0,9.6,0.418,0.886,2.49,401.0,851.0,161.0,245.0,'no'
9.0,49.0,441.0,5.444,0.594,0.998,3.05,262.0,440.0,86.0,246.0,'no'
1.0,32.0,32.0,32.0,0.719,1.0,5.75,23.0,32.0,4.0,247.0,'yes'
1.0,52.0,52.0,52.0,0.788,1.0,10.25,41.0,52.0,4.0,248.0,'yes'
1.0,13.0,13.0,13.0,0.692,1.0,4.5,9.0,13.0,2.0,249.0,'yes'
9.0,23.0,207.0,2.556,0.304,1.0,1.62,63.0,207.0,39.0,250.0,'no'
9.0,37.0,333.0,4.111,0.381,0.808,2.05,127.0,269.0,62.0,251.0,'no'
9.0,20.0,180.0,2.222,0.339,0.872,2.35,61.0,157.0,26.0,252.0,'no'
8.0,79.0,632.0,9.875,0.375,0.956,2.12,237.0,604.0,112.0,253.0,'no'
9.0,81.0,729.0,9.0,0.388,0.897,2.38,283.0,654.0,119.0,254.0,'no'
8.0,67.0,536.0,8.375,0.381,0.746,2.49,204.0,400.0,82.0,255.0,'no'
9.0,32.0,288.0,3.556,0.292,0.826,1.53,84.0,238.0,55.0,256.0,'no'
94.0,2.0,188.0,0.021,0.516,0.516,97.0,97.0,97.0,1.0,257.0,'yes'
10.0,11.0,110.0,1.1,0.382,1.0,1.5,42.0,110.0,28.0,258.0,'no'
10.0,64.0,640.0,6.4,0.295,0.808,2.25,189.0,517.0,84.0,259.0,'no'
10.0,83.0,830.0,8.3,0.295,0.725,2.02,245.0,602.0,121.0,260.0,'no'
12.0,73.0,876.0,6.083,0.257,0.591,2.14,225.0,518.0,105.0,261.0,'no'
8.0,17.0,136.0,2.125,0.353,0.801,2.0,48.0,109.0,24.0,262.0,'no'
9.0,12.0,108.0,1.333,0.407,0.88,1.69,44.0,95.0,26.0,263.0,'no'
9.0,82.0,738.0,9.111,0.343,0.913,2.02,253.0,674.0,125.0,264.0,'no'
8.0,53.0,424.0,6.625,0.37,0.901,1.76,157.0,382.0,89.0,265.0,'no'
11.0,83.0,913.0,7.545,0.274,0.9,1.71,250.0,822.0,146.0,266.0,'no'
10.0,81.0,810.0,8.1,0.279,0.81,2.11,226.0,656.0,107.0,267.0,'no'
9.0,82.0,738.0,9.111,0.329,0.871,2.11,243.0,643.0,115.0,268.0,'no'
11.0,100.0,1100.0,9.091,0.269,0.765,1.9,296.0,842.0,156.0,269.0,'no'
25.0,71.0,1775.0,2.84,0.234,0.748,2.22,416.0,1328.0,187.0,270.0,'no'
9.0,82.0,738.0,9.111,0.247,0.935,2.09,182.0,690.0,87.0,271.0,'no'
9.0,97.0,873.0,10.778,0.328,0.921,1.77,286.0,804.0,162.0,272.0,'no'
9.0,32.0,288.0,3.556,0.333,0.861,1.68,96.0,248.0,57.0,273.0,'no'
8.0,82.0,656.0,10.25,0.398,0.951,2.51,261.0,624.0,104.0,274.0,'no'
12.0,13.0,156.0,1.083,0.372,0.981,2.32,58.0,153.0,25.0,275.0,'no'
12.0,8.0,96.0,0.667,0.198,1.0,2.11,19.0,96.0,9.0,276.0,'no'
12.0,43.0,516.0,3.583,0.293,0.791,2.29,151.0,408.0,66.0,277.0,'no'
8.0,75.0,600.0,9.375,0.415,0.91,2.37,249.0,546.0,105.0,278.0,'no'
11.0,84.0,924.0,7.636,0.251,0.681,1.77,232.0,629.0,131.0,279.0,'no'
2.0,123.0,246.0,61.5,0.5,0.504,123.0,123.0,124.0,1.0,280.0,'yes'
1.0,36.0,36.0,36.0,0.722,1.0,8.67,26.0,36.0,3.0,281.0,'yes'
19.0,123.0,2337.0,6.474,0.089,0.089,207.0,207.0,208.0,1.0,282.0,'no'
8.0,6.0,48.0,0.75,0.5,0.646,8.0,24.0,31.0,3.0,283.0,'no'
10.0,65.0,650.0,6.5,0.445,0.911,2.58,289.0,592.0,112.0,284.0,'no'
9.0,37.0,333.0,4.111,0.598,0.946,3.49,199.0,315.0,57.0,285.0,'no'
9.0,20.0,180.0,2.222,0.339,0.772,1.74,61.0,139.0,35.0,286.0,'no'
4.0,8.0,32.0,2.0,0.344,0.781,1.83,11.0,25.0,6.0,287.0,'no'
10.0,100.0,1000.0,10.0,0.449,0.874,2.82,449.0,874.0,159.0,288.0,'no'
9.0,32.0,288.0,3.556,0.365,0.781,2.23,105.0,225.0,47.0,289.0,'no'
9.0,82.0,738.0,9.111,0.337,0.817,2.01,249.0,603.0,124.0,290.0,'no'
